"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Brandon Nimmo","Mets","115","495","406","94","20","3","14","61","49","72","133","10","7","3","",".231",".358",".400",".758",".330","","107","1.0","-5.1","","5.7","-4.4","1.7","12927"
"Jacob Stallings","Pirates","80","316","287","75","16","1","7","30","33","20","61","4","1","1","",".262",".317",".394",".711",".301","","85","0.0","0.2","","-6.5","6.9","1.7","13723"
"Jonathan Schoop","Tigers","136","557","515","135","28","2","26","68","79","27","127","8","2","1","",".262",".306",".477",".784",".326","","101","-0.9","-4.2","","-0.1","-2.6","1.6","11265"
"Shogo Akiyama","Reds","110","455","400","110","20","2","12","51","51","45","87","4","8","4","",".274",".350",".428",".778",".332","","101","-0.5","0.0","","0.1","1.8","1.6","27461"
"Justin Upton","Angels","144","624","547","131","25","1","31","81","91","66","187","6","5","2","",".240",".325",".457",".782",".330","","107","0.7","-3.6","","6.5","-12.1","1.6","5222"
"Travis d'Arnaud","Braves","85","352","319","82","17","1","14","41","46","26","71","3","1","1","",".258",".316",".442",".758",".319","","94","-0.4","-0.6","","-3.2","5.9","1.6","7739"
"Jason Heyward","Cubs","122","507","444","116","22","3","14","59","58","52","85","4","6","2","",".261",".342",".419",".761",".324","","98","1.4","3.5","","0.3","-0.5","1.6","4940"
"Yoshitomo Tsutsugo","Rays","110","455","386","97","18","1","21","60","61","60","116","3","1","1","",".251",".353",".468",".822",".346","","119","0.0","0.0","","11.2","-11.1","1.6","27459"
"David Fletcher","Angels","118","514","468","131","26","3","6","61","48","35","56","4","7","3","",".280",".333",".385",".718",".309","","93","0.4","1.6","","-4.0","2.0","1.6","17992"
"Wilson Ramos","Mets","99","412","373","102","18","1","15","47","55","32","65","2","1","0","",".274",".332",".448",".780",".328","","106","-3.1","-1.2","","0.1","7.1","1.6","1433"
"Miguel Rojas","Marlins","125","526","480","131","27","1","8","53","49","32","66","6","8","3","",".274",".325",".387",".712",".305","","90","-1.3","1.6","","-8.3","7.2","1.6","7802"
"Nick Madrigal","White Sox","110","447","408","117","22","3","5","51","45","28","25","5","18","8","",".287",".337",".392",".729",".313","","96","0.5","0.0","","-1.7","1.8","1.5","sa3008139"
"Tom Murphy","Mariners","117","472","433","94","20","2","20","49","58","29","161","4","3","1","",".217",".271",".408",".679",".285","","79","0.3","0.7","","-12.6","7.2","1.5","13499"
"Jurickson Profar","Padres","125","509","446","109","24","2","17","57","61","49","76","8","7","3","",".244",".327",".423",".750",".319","","98","0.6","-1.4","","-0.9","0.3","1.5","10815"
"Tyler Flowers","Braves","62","248","215","50","9","1","8","26","28","23","73","6","1","0","",".232",".323",".392",".714",".307","","86","-0.6","-2.1","","-5.3","3.1","1.5","9134"
"Jeimer Candelario","Tigers","104","452","393","96","22","3","15","55","51","47","110","6","3","1","",".243",".331",".425",".756",".322","","99","0.5","0.4","","-0.1","-0.1","1.5","13621"
"Evan Longoria","Giants","125","537","489","124","26","3","20","60","69","37","113","6","3","1","",".253",".310",".439",".749",".315","","96","-0.4","-0.7","","-3.2","1.4","1.5","9368"
"C.J. Cron","Tigers","128","537","484","127","26","1","28","70","80","36","122","11","2","1","",".262",".324",".495",".820",".340","","111","-1.4","1.4","","6.2","-9.6","1.5","12546"
"Franmil Reyes","Indians","136","572","510","133","23","1","36","81","93","52","148","3","1","1","",".260",".330",".518",".847",".350","","115","-0.6","-0.5","","10.3","-15.1","1.5","14566"
